id,domain,concept,method,backend,response,latency_sec,input_tokens,output_tokens,total_tokens,checkpoint_1,checkpoint_2,checkpoint_3
ml_05,ML,梯度下降,C_feynman_cot,mock,"{""expert_draft"": ""梯度下降的核心是：通过梯度方向迭代更新参数；其次，目标是最小化损失函数；并且学习率过大或过小都会影响收敛。"", ""knowledge_gaps_or_risks"": [""容易只记结论而忽略适用条件"", ""可能把类比当成严格等价关系"", ""忽略边界情况导致误解""], ""analogy_explanation"": ""可类比为管理一支团队：目标、约束和反馈共同决定最终表现。"", ""consistency_check"": {""passed_points"": [""保留了核心定义"", ""保留了关键机制""], ""risk_points"": [""类比可能弱化数学或法律上的严格条件""]}, ""final_answer_for_beginner"": ""梯度下降可以理解为：通过梯度方向迭代更新参数。同时，目标是最小化损失函数。在实践中，学习率过大或过小都会影响收敛。 你可以先记住“核心机制+限制条件+典型场景”这三件事。""}",0.0,349,236,585,通过梯度方向迭代更新参数,目标是最小化损失函数,学习率过大或过小都会影响收敛
ml_06,ML,正则化,A_zero_shot,mock,正则化可以理解为：在目标函数中加入复杂度惩罚。同时，可抑制过拟合。在实践中，L1可促稀疏，L2可抑制大权重。 可以把它想成一个需要在规则和结果之间保持平衡的小系统。,0.0,62,45,107,在目标函数中加入复杂度惩罚,可抑制过拟合,L1可促稀疏，L2可抑制大权重
ml_06,ML,正则化,B_standard_cot,mock,"定义：正则化涉及在目标函数中加入复杂度惩罚。
关键点：可抑制过拟合，并且L1可促稀疏，L2可抑制大权重。
例子：像学习骑车，先掌握平衡，再通过练习减少错误。",0.0,82,43,125,在目标函数中加入复杂度惩罚,可抑制过拟合,L1可促稀疏，L2可抑制大权重
ml_06,ML,正则化,C_feynman_cot,mock,"{""expert_draft"": ""正则化的核心是：在目标函数中加入复杂度惩罚；其次，可抑制过拟合；并且L1可促稀疏，L2可抑制大权重。"", ""knowledge_gaps_or_risks"": [""容易只记结论而忽略适用条件"", ""可能把类比当成严格等价关系"", ""忽略边界情况导致误解""], ""analogy_explanation"": ""可类比为管理一支团队：目标、约束和反馈共同决定最终表现。"", ""consistency_check"": {""passed_points"": [""保留了核心定义"", ""保留了关键机制""], ""risk_points"": [""类比可能弱化数学或法律上的严格条件""]}, ""final_answer_for_beginner"": ""正则化可以理解为：在目标函数中加入复杂度惩罚。同时，可抑制过拟合。在实践中，L1可促稀疏，L2可抑制大权重。 你可以先记住“核心机制+限制条件+典型场景”这三件事。""}",0.0,348,232,580,在目标函数中加入复杂度惩罚,可抑制过拟合,L1可促稀疏，L2可抑制大权重
ml_07,ML,注意力机制,A_zero_shot,mock,注意力机制可以理解为：根据相关性动态分配权重。同时，可建模长距离依赖。在实践中，是Transformer核心组件之一。 可以把它想成一个需要在规则和结果之间保持平衡的小系统。,0.0,63,48,111,根据相关性动态分配权重,可建模长距离依赖,是Transformer核心组件之一
ml_07,ML,注意力机制,B_standard_cot,mock,"定义：注意力机制涉及根据相关性动态分配权重。
关键点：可建模长距离依赖，并且是Transformer核心组件之一。
例子：像学习骑车，先掌握平衡，再通过练习减少错误。",0.0,83,46,129,根据相关性动态分配权重,可建模长距离依赖,是Transformer核心组件之一
ml_07,ML,注意力机制,C_feynman_cot,mock,"{""expert_draft"": ""注意力机制的核心是：根据相关性动态分配权重；其次，可建模长距离依赖；并且是Transformer核心组件之一。"", ""knowledge_gaps_or_risks"": [""容易只记结论而忽略适用条件"", ""可能把类比当成严格等价关系"", ""忽略边界情况导致误解""], ""analogy_explanation"": ""可类比为管理一支团队：目标、约束和反馈共同决定最终表现。"", ""consistency_check"": {""passed_points"": [""保留了核心定义"", ""保留了关键机制""], ""risk_points"": [""类比可能弱化数学或法律上的严格条件""]}, ""final_answer_for_beginner"": ""注意力机制可以理解为：根据相关性动态分配权重。同时，可建模长距离依赖。在实践中，是Transformer核心组件之一。 你可以先记住“核心机制+限制条件+典型场景”这三件事。""}",0.0,350,238,588,根据相关性动态分配权重,可建模长距离依赖,是Transformer核心组件之一
ml_08,ML,迁移学习,A_zero_shot,mock,迁移学习可以理解为：利用预训练模型迁移到新任务。同时，通常在小数据场景有效。在实践中，可减少训练成本并提升收敛速度。 可以把它想成一个需要在规则和结果之间保持平衡的小系统。,0.0,63,47,110,利用预训练模型迁移到新任务,通常在小数据场景有效,可减少训练成本并提升收敛速度
ml_08,ML,迁移学习,B_standard_cot,mock,"定义：迁移学习涉及利用预训练模型迁移到新任务。
关键点：通常在小数据场景有效，并且可减少训练成本并提升收敛速度。
例子：像学习骑车，先掌握平衡，再通过练习减少错误。",0.0,83,45,128,利用预训练模型迁移到新任务,通常在小数据场景有效,可减少训练成本并提升收敛速度
ml_08,ML,迁移学习,C_feynman_cot,mock,"{""expert_draft"": ""迁移学习的核心是：利用预训练模型迁移到新任务；其次，通常在小数据场景有效；并且可减少训练成本并提升收敛速度。"", ""knowledge_gaps_or_risks"": [""容易只记结论而忽略适用条件"", ""可能把类比当成严格等价关系"", ""忽略边界情况导致误解""], ""analogy_explanation"": ""可类比为管理一支团队：目标、约束和反馈共同决定最终表现。"", ""consistency_check"": {""passed_points"": [""保留了核心定义"", ""保留了关键机制""], ""risk_points"": [""类比可能弱化数学或法律上的严格条件""]}, ""final_answer_for_beginner"": ""迁移学习可以理解为：利用预训练模型迁移到新任务。同时，通常在小数据场景有效。在实践中，可减少训练成本并提升收敛速度。 你可以先记住“核心机制+限制条件+典型场景”这三件事。""}",0.0,349,237,586,利用预训练模型迁移到新任务,通常在小数据场景有效,可减少训练成本并提升收敛速度
phy_01,Physics,牛顿第二定律,A_zero_shot,mock,牛顿第二定律可以理解为：公式为F=ma。同时，力是质量与加速度的乘积。在实践中，在经典低速尺度下适用。 可以把它想成一个需要在规则和结果之间保持平衡的小系统。,0.0,64,43,107,公式为F=ma,力是质量与加速度的乘积,在经典低速尺度下适用
phy_01,Physics,牛顿第二定律,B_standard_cot,mock,"定义：牛顿第二定律涉及公式为F=ma。
关键点：力是质量与加速度的乘积，并且在经典低速尺度下适用。
例子：像学习骑车，先掌握平衡，再通过练习减少错误。",0.0,84,41,125,公式为F=ma,力是质量与加速度的乘积,在经典低速尺度下适用
phy_01,Physics,牛顿第二定律,C_feynman_cot,mock,"{""expert_draft"": ""牛顿第二定律的核心是：公式为F=ma；其次，力是质量与加速度的乘积；并且在经典低速尺度下适用。"", ""knowledge_gaps_or_risks"": [""容易只记结论而忽略适用条件"", ""可能把类比当成严格等价关系"", ""忽略边界情况导致误解""], ""analogy_explanation"": ""可类比为管理一支团队：目标、约束和反馈共同决定最终表现。"", ""consistency_check"": {""passed_points"": [""保留了核心定义"", ""保留了关键机制""], ""risk_points"": [""类比可能弱化数学或法律上的严格条件""]}, ""final_answer_for_beginner"": ""牛顿第二定律可以理解为：公式为F=ma。同时，力是质量与加速度的乘积。在实践中，在经典低速尺度下适用。 你可以先记住“核心机制+限制条件+典型场景”这三件事。""}",0.0,350,229,579,公式为F=ma,力是质量与加速度的乘积,在经典低速尺度下适用
phy_02,Physics,动量守恒,A_zero_shot,mock,动量守恒可以理解为：封闭系统总动量保持不变。同时，碰撞问题常使用该定律。在实践中，外力冲量会改变系统动量。 可以把它想成一个需要在规则和结果之间保持平衡的小系统。,0.0,63,45,108,封闭系统总动量保持不变,碰撞问题常使用该定律,外力冲量会改变系统动量
phy_02,Physics,动量守恒,B_standard_cot,mock,"定义：动量守恒涉及封闭系统总动量保持不变。
关键点：碰撞问题常使用该定律，并且外力冲量会改变系统动量。
例子：像学习骑车，先掌握平衡，再通过练习减少错误。",0.0,83,42,125,封闭系统总动量保持不变,碰撞问题常使用该定律,外力冲量会改变系统动量
phy_02,Physics,动量守恒,C_feynman_cot,mock,"{""expert_draft"": ""动量守恒的核心是：封闭系统总动量保持不变；其次，碰撞问题常使用该定律；并且外力冲量会改变系统动量。"", ""knowledge_gaps_or_risks"": [""容易只记结论而忽略适用条件"", ""可能把类比当成严格等价关系"", ""忽略边界情况导致误解""], ""analogy_explanation"": ""可类比为管理一支团队：目标、约束和反馈共同决定最终表现。"", ""consistency_check"": {""passed_points"": [""保留了核心定义"", ""保留了关键机制""], ""risk_points"": [""类比可能弱化数学或法律上的严格条件""]}, ""final_answer_for_beginner"": ""动量守恒可以理解为：封闭系统总动量保持不变。同时，碰撞问题常使用该定律。在实践中，外力冲量会改变系统动量。 你可以先记住“核心机制+限制条件+典型场景”这三件事。""}",0.0,349,231,580,封闭系统总动量保持不变,碰撞问题常使用该定律,外力冲量会改变系统动量
phy_03,Physics,能量守恒,A_zero_shot,mock,能量守恒可以理解为：总能量不会凭空产生或消失。同时，能量可在不同形式间转换。在实践中，封闭系统中总能量保持恒定。 可以把它想成一个需要在规则和结果之间保持平衡的小系统。,0.0,63,46,109,总能量不会凭空产生或消失,能量可在不同形式间转换,封闭系统中总能量保持恒定
phy_03,Physics,能量守恒,B_standard_cot,mock,"定义：能量守恒涉及总能量不会凭空产生或消失。
关键点：能量可在不同形式间转换，并且封闭系统中总能量保持恒定。
例子：像学习骑车，先掌握平衡，再通过练习减少错误。",0.0,83,44,127,总能量不会凭空产生或消失,能量可在不同形式间转换,封闭系统中总能量保持恒定
phy_03,Physics,能量守恒,C_feynman_cot,mock,"{""expert_draft"": ""能量守恒的核心是：总能量不会凭空产生或消失；其次，能量可在不同形式间转换；并且封闭系统中总能量保持恒定。"", ""knowledge_gaps_or_risks"": [""容易只记结论而忽略适用条件"", ""可能把类比当成严格等价关系"", ""忽略边界情况导致误解""], ""analogy_explanation"": ""可类比为管理一支团队：目标、约束和反馈共同决定最终表现。"", ""consistency_check"": {""passed_points"": [""保留了核心定义"", ""保留了关键机制""], ""risk_points"": [""类比可能弱化数学或法律上的严格条件""]}, ""final_answer_for_beginner"": ""能量守恒可以理解为：总能量不会凭空产生或消失。同时，能量可在不同形式间转换。在实践中，封闭系统中总能量保持恒定。 你可以先记住“核心机制+限制条件+典型场景”这三件事。""}",0.0,349,235,584,总能量不会凭空产生或消失,能量可在不同形式间转换,封闭系统中总能量保持恒定
phy_04,Physics,热力学第二定律,A_zero_shot,mock,热力学第二定律可以理解为：孤立系统熵不减少。同时，热量自发地由高温流向低温。在实践中，过程具有方向性。 可以把它想成一个需要在规则和结果之间保持平衡的小系统。,0.0,65,43,108,孤立系统熵不减少,热量自发地由高温流向低温,过程具有方向性
phy_04,Physics,热力学第二定律,B_standard_cot,mock,"定义：热力学第二定律涉及孤立系统熵不减少。
关键点：热量自发地由高温流向低温，并且过程具有方向性。
例子：像学习骑车，先掌握平衡，再通过练习减少错误。",0.0,85,41,126,孤立系统熵不减少,热量自发地由高温流向低温,过程具有方向性
phy_04,Physics,热力学第二定律,C_feynman_cot,mock,"{""expert_draft"": ""热力学第二定律的核心是：孤立系统熵不减少；其次，热量自发地由高温流向低温；并且过程具有方向性。"", ""knowledge_gaps_or_risks"": [""容易只记结论而忽略适用条件"", ""可能把类比当成严格等价关系"", ""忽略边界情况导致误解""], ""analogy_explanation"": ""可类比为管理一支团队：目标、约束和反馈共同决定最终表现。"", ""consistency_check"": {""passed_points"": [""保留了核心定义"", ""保留了关键机制""], ""risk_points"": [""类比可能弱化数学或法律上的严格条件""]}, ""final_answer_for_beginner"": ""热力学第二定律可以理解为：孤立系统熵不减少。同时，热量自发地由高温流向低温。在实践中，过程具有方向性。 你可以先记住“核心机制+限制条件+典型场景”这三件事。""}",0.0,351,229,580,孤立系统熵不减少,热量自发地由高温流向低温,过程具有方向性
phy_05,Physics,电磁感应,A_zero_shot,mock,电磁感应可以理解为：磁通量变化会产生感应电动势。同时，法拉第定律描述感应强度。在实践中，发电机工作依赖该原理。 可以把它想成一个需要在规则和结果之间保持平衡的小系统。,0.0,63,46,109,磁通量变化会产生感应电动势,法拉第定律描述感应强度,发电机工作依赖该原理
phy_05,Physics,电磁感应,B_standard_cot,mock,"定义：电磁感应涉及磁通量变化会产生感应电动势。
关键点：法拉第定律描述感应强度，并且发电机工作依赖该原理。
例子：像学习骑车，先掌握平衡，再通过练习减少错误。",0.0,83,43,126,磁通量变化会产生感应电动势,法拉第定律描述感应强度,发电机工作依赖该原理
phy_05,Physics,电磁感应,C_feynman_cot,mock,"{""expert_draft"": ""电磁感应的核心是：磁通量变化会产生感应电动势；其次，法拉第定律描述感应强度；并且发电机工作依赖该原理。"", ""knowledge_gaps_or_risks"": [""容易只记结论而忽略适用条件"", ""可能把类比当成严格等价关系"", ""忽略边界情况导致误解""], ""analogy_explanation"": ""可类比为管理一支团队：目标、约束和反馈共同决定最终表现。"", ""consistency_check"": {""passed_points"": [""保留了核心定义"", ""保留了关键机制""], ""risk_points"": [""类比可能弱化数学或法律上的严格条件""]}, ""final_answer_for_beginner"": ""电磁感应可以理解为：磁通量变化会产生感应电动势。同时，法拉第定律描述感应强度。在实践中，发电机工作依赖该原理。 你可以先记住“核心机制+限制条件+典型场景”这三件事。""}",0.0,349,233,582,磁通量变化会产生感应电动势,法拉第定律描述感应强度,发电机工作依赖该原理
phy_06,Physics,波粒二象性,A_zero_shot,mock,波粒二象性可以理解为：微观对象兼具波动与粒子特性。同时，实验设置影响观测结果。在实践中，是量子理论基本特征之一。 可以把它想成一个需要在规则和结果之间保持平衡的小系统。,0.0,63,46,109,微观对象兼具波动与粒子特性,实验设置影响观测结果,是量子理论基本特征之一
phy_06,Physics,波粒二象性,B_standard_cot,mock,"定义：波粒二象性涉及微观对象兼具波动与粒子特性。
关键点：实验设置影响观测结果，并且是量子理论基本特征之一。
例子：像学习骑车，先掌握平衡，再通过练习减少错误。",0.0,83,44,127,微观对象兼具波动与粒子特性,实验设置影响观测结果,是量子理论基本特征之一
phy_06,Physics,波粒二象性,C_feynman_cot,mock,"{""expert_draft"": ""波粒二象性的核心是：微观对象兼具波动与粒子特性；其次，实验设置影响观测结果；并且是量子理论基本特征之一。"", ""knowledge_gaps_or_risks"": [""容易只记结论而忽略适用条件"", ""可能把类比当成严格等价关系"", ""忽略边界情况导致误解""], ""analogy_explanation"": ""可类比为管理一支团队：目标、约束和反馈共同决定最终表现。"", ""consistency_check"": {""passed_points"": [""保留了核心定义"", ""保留了关键机制""], ""risk_points"": [""类比可能弱化数学或法律上的严格条件""]}, ""final_answer_for_beginner"": ""波粒二象性可以理解为：微观对象兼具波动与粒子特性。同时，实验设置影响观测结果。在实践中，是量子理论基本特征之一。 你可以先记住“核心机制+限制条件+典型场景”这三件事。""}",0.0,350,235,585,微观对象兼具波动与粒子特性,实验设置影响观测结果,是量子理论基本特征之一
phy_07,Physics,相对论时间膨胀,A_zero_shot,mock,相对论时间膨胀可以理解为：高速运动时钟相对变慢。同时，靠近强引力场时钟也会变慢。在实践中，GPS系统需进行相对论校正。 可以把它想成一个需要在规则和结果之间保持平衡的小系统。,0.0,65,48,113,高速运动时钟相对变慢,靠近强引力场时钟也会变慢,GPS系统需进行相对论校正
phy_07,Physics,相对论时间膨胀,B_standard_cot,mock,"定义：相对论时间膨胀涉及高速运动时钟相对变慢。
关键点：靠近强引力场时钟也会变慢，并且GPS系统需进行相对论校正。
例子：像学习骑车，先掌握平衡，再通过练习减少错误。",0.0,85,46,131,高速运动时钟相对变慢,靠近强引力场时钟也会变慢,GPS系统需进行相对论校正
phy_07,Physics,相对论时间膨胀,C_feynman_cot,mock,"{""expert_draft"": ""相对论时间膨胀的核心是：高速运动时钟相对变慢；其次，靠近强引力场时钟也会变慢；并且GPS系统需进行相对论校正。"", ""knowledge_gaps_or_risks"": [""容易只记结论而忽略适用条件"", ""可能把类比当成严格等价关系"", ""忽略边界情况导致误解""], ""analogy_explanation"": ""可类比为管理一支团队：目标、约束和反馈共同决定最终表现。"", ""consistency_check"": {""passed_points"": [""保留了核心定义"", ""保留了关键机制""], ""risk_points"": [""类比可能弱化数学或法律上的严格条件""]}, ""final_answer_for_beginner"": ""相对论时间膨胀可以理解为：高速运动时钟相对变慢。同时，靠近强引力场时钟也会变慢。在实践中，GPS系统需进行相对论校正。 你可以先记住“核心机制+限制条件+典型场景”这三件事。""}",0.0,351,238,589,高速运动时钟相对变慢,靠近强引力场时钟也会变慢,GPS系统需进行相对论校正
phy_08,Physics,简谐振动,A_zero_shot,mock,简谐振动可以理解为：回复力与位移成正比且方向相反。同时，位移随时间呈正弦变化。在实践中，常见于弹簧振子和小角度摆。 可以把它想成一个需要在规则和结果之间保持平衡的小系统。,0.0,63,47,110,回复力与位移成正比且方向相反,位移随时间呈正弦变化,常见于弹簧振子和小角度摆
phy_08,Physics,简谐振动,B_standard_cot,mock,"定义：简谐振动涉及回复力与位移成正比且方向相反。
关键点：位移随时间呈正弦变化，并且常见于弹簧振子和小角度摆。
例子：像学习骑车，先掌握平衡，再通过练习减少错误。",0.0,83,45,128,回复力与位移成正比且方向相反,位移随时间呈正弦变化,常见于弹簧振子和小角度摆
phy_08,Physics,简谐振动,C_feynman_cot,mock,"{""expert_draft"": ""简谐振动的核心是：回复力与位移成正比且方向相反；其次，位移随时间呈正弦变化；并且常见于弹簧振子和小角度摆。"", ""knowledge_gaps_or_risks"": [""容易只记结论而忽略适用条件"", ""可能把类比当成严格等价关系"", ""忽略边界情况导致误解""], ""analogy_explanation"": ""可类比为管理一支团队：目标、约束和反馈共同决定最终表现。"", ""consistency_check"": {""passed_points"": [""保留了核心定义"", ""保留了关键机制""], ""risk_points"": [""类比可能弱化数学或法律上的严格条件""]}, ""final_answer_for_beginner"": ""简谐振动可以理解为：回复力与位移成正比且方向相反。同时，位移随时间呈正弦变化。在实践中，常见于弹簧振子和小角度摆。 你可以先记住“核心机制+限制条件+典型场景”这三件事。""}",0.0,349,236,585,回复力与位移成正比且方向相反,位移随时间呈正弦变化,常见于弹簧振子和小角度摆
med_01,Medicine,炎症反应,A_zero_shot,mock,炎症反应可以理解为：是机体对损伤或感染的防御反应。同时，典型表现包括红肿热痛。在实践中，过度炎症可能导致组织损伤。 可以把它想成一个需要在规则和结果之间保持平衡的小系统。,0.0,63,47,110,是机体对损伤或感染的防御反应,典型表现包括红肿热痛,过度炎症可能导致组织损伤
med_01,Medicine,炎症反应,B_standard_cot,mock,"定义：炎症反应涉及是机体对损伤或感染的防御反应。
关键点：典型表现包括红肿热痛，并且过度炎症可能导致组织损伤。
例子：像学习骑车，先掌握平衡，再通过练习减少错误。",0.0,83,45,128,是机体对损伤或感染的防御反应,典型表现包括红肿热痛,过度炎症可能导致组织损伤
med_01,Medicine,炎症反应,C_feynman_cot,mock,"{""expert_draft"": ""炎症反应的核心是：是机体对损伤或感染的防御反应；其次，典型表现包括红肿热痛；并且过度炎症可能导致组织损伤。"", ""knowledge_gaps_or_risks"": [""容易只记结论而忽略适用条件"", ""可能把类比当成严格等价关系"", ""忽略边界情况导致误解""], ""analogy_explanation"": ""可类比为管理一支团队：目标、约束和反馈共同决定最终表现。"", ""consistency_check"": {""passed_points"": [""保留了核心定义"", ""保留了关键机制""], ""risk_points"": [""类比可能弱化数学或法律上的严格条件""]}, ""final_answer_for_beginner"": ""炎症反应可以理解为：是机体对损伤或感染的防御反应。同时，典型表现包括红肿热痛。在实践中，过度炎症可能导致组织损伤。 你可以先记住“核心机制+限制条件+典型场景”这三件事。""}",0.0,349,236,585,是机体对损伤或感染的防御反应,典型表现包括红肿热痛,过度炎症可能导致组织损伤
med_02,Medicine,抗生素耐药,A_zero_shot,mock,抗生素耐药可以理解为：细菌对抗生素敏感性下降。同时，滥用抗生素会加速耐药形成。在实践中，病毒感染通常不应使用抗生素。 可以把它想成一个需要在规则和结果之间保持平衡的小系统。,0.0,63,47,110,细菌对抗生素敏感性下降,滥用抗生素会加速耐药形成,病毒感染通常不应使用抗生素
med_02,Medicine,抗生素耐药,B_standard_cot,mock,"定义：抗生素耐药涉及细菌对抗生素敏感性下降。
关键点：滥用抗生素会加速耐药形成，并且病毒感染通常不应使用抗生素。
例子：像学习骑车，先掌握平衡，再通过练习减少错误。",0.0,83,45,128,细菌对抗生素敏感性下降,滥用抗生素会加速耐药形成,病毒感染通常不应使用抗生素
